state,nuts1,state_code,area_km2,population_2023,population_density_2023,hdi_2022,gdp_per_capita_eur_2023,unemployment_rate_nov_2025
Baden-Württemberg,DE1,BW,35748.0,11230740,314.2,0.963,54339,4.7
Bavaria,DE2,BY,70541.0,13176426,186.8,0.958,57343,4.2
Berlin,DE3,BE,891.1,3662381,4110.0,0.967,51209,10.5
Brandenburg,DE4,BB,29654.0,2554464,86.14,0.926,37814,6.5
Bremen,DE5,HB,419.4,702655,1676.0,0.954,56981,11.8
Hamburg,DE6,HH,755.1,1851596,2452.0,0.975,79167,8.5
Hesse,DE7,HE,21116.0,6267546,296.8,0.954,54806,6.0
Lower Saxony,DE9,NI,47710.0,8008135,167.9,0.936,44531,6.2
Mecklenburg-Vorpommern,DE8,MV,23295.0,1578041,67.74,0.922,36335,8.0
North Rhine-Westphalia,DEA,NW,34112.0,18017520,528.2,0.946,46194,8.0
Rhineland-Palatinate,DEB,RP,19858.0,4125163,207.7,0.938,41797,5.6
Saarland,DEC,SL,2572.0,1014047,394.3,0.934,41617,7.6
Saxony,DED,SN,18450.0,4054689,219.8,0.944,38143,7.0
Saxony-Anhalt,DEE,ST,20464.0,2144570,104.8,0.921,35911,8.0
Schleswig-Holstein,DEF,SH,15804.0,2953202,186.9,0.929,40090,5.9
Thuringia,DEG,TH,16202.0,2114870,130.5,0.928,35715,6.4
